,state_names,district_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,state,population,lf_yld,oncho_yld,schisto_yld,WHO_region,Country,ISO2,Country_ID,ADMIN1_NAME,ADMIN1_ID,IU_Name,District_ID,IU_ID,Endemicity,MDA_start_APOC,LF_MDA_duration,start_year,end_year,Period,PopReq,PopTreat,Cov,MDA,EffMDA,MDA_n,EffMDA_n,MDA_left,Mapping_gap,Composite_IU_ID,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio
0,Abia,Aba North,28912,0,28912,115648,0,13357.41,0.0,115648,323814.39999999997,44029.771631562486,123283.36056837495,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Aba North,1586,36337,Endemic,,,2017,2017,Annual,112828,101972,90.37827490000001,1,1,1,1,4,0,ANGA0377536337,0.0,0.0,0.0,2.8,2.8
1,Abia,Aba South,114007,0,114007,456027,0,0.0,0.0,456027,1276875.5999999999,173620.93719218747,486138.62413812487,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Aba South,1587,36338,Endemic,,,2017,2017,Annual,444905,353898,79.54462189,1,1,1,1,4,0,ANGA0377536338,0.0,0.0,0.0,2.8,2.8
2,Abia,Arochukwu,45782,-109876,155658,183126,64094,0.0,0.0,183126,512752.79999999993,57381.492356562485,160668.17859837494,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Arochukwu,1588,36339,Endemic,2014.0,3.0,2017,2017,Annual,178660,155443,87.00492556,1,1,1,1,2,0,ANGA0377536339,-1.66666059922094,0.4117616826632746,0.0,2.8,2.8
3,Abia,Bende,51674,-124017,175691,206694,72343,0.0,0.0,206694,578743.2,70572.49792468747,197602.9941891249,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Bende,1589,36340,Endemic,2014.0,3.0,2017,2017,Annual,201652,190480,94.45976236,1,1,1,1,2,0,ANGA0377536340,-1.6666586032560051,0.41176269700781487,0.0,2.8,2.8
4,Abia,Ikwuano,37117,0,37117,148468,0,17148.120000000003,0.0,148468,415710.39999999997,40045.44862156249,112127.25614037497,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ikwuano,1590,36341,Endemic,2014.0,3.0,2017,2017,Annual,144848,142106,98.10698111,1,1,1,1,2,0,ANGA0377536341,0.0,0.0,0.0,2.8,2.8
5,Abia,Isiukwuato,30782,0,30782,123129,0,0.0,0.0,123129,344761.19999999995,57105.09760874999,159894.27330449995,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Isiukwuato,1593,36344,Endemic,2014.0,3.0,2017,2017,Annual,120126,104307,86.83132711,1,1,1,1,2,0,ANGA0377536344,0.0,0.0,0.0,2.8,2.8
6,Abia,Ohafia,65938,0,65938,263754,0,0.0,0.0,263754,738511.1999999998,57800.05820468748,161840.1629731249,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ohafia,1595,36346,Endemic,2014.0,3.0,2017,2017,Annual,257320,232536,90.36841287,1,1,1,1,2,0,ANGA0377536346,0.0,0.0,0.0,2.7999999999999994,2.7999999999999994
7,Abia,Ugwunagbo,22222,-53333,75555,88889,31111,0.0,0.0,88889,248889.2,33842.02017624999,94757.65649349998,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ugwunagbo,1597,36348,Endemic,,,2017,2017,Annual,86722,75223,86.74038883,1,1,1,1,4,0,ANGA0377536348,-1.6666791667447922,0.41176626298722785,0.0,2.8,2.8000000000000003
8,Abia,Ukwa East,15833,0,15833,63334,0,0.0,0.0,63334,177335.19999999998,44149.86647406247,123619.62612737491,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ukwa East,1598,36349,Endemic,2014.0,3.0,2017,2017,Annual,61789,53489,86.56718833,1,1,1,1,1,0,ANGA0377536349,0.0,0.0,0.0,2.8,2.8
9,Abia,Ukwa West,23819,0,23819,95277,0,0.0,0.0,95277,266775.6,57272.87716812497,160364.0560707499,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Ukwa West,1599,36350,Endemic,2014.0,3.0,2017,2017,Annual,92954,79945,86.00490565,1,1,1,1,2,0,ANGA0377536350,0.0,0.0,0.0,2.8,2.8
10,Abia,Umuahia North,59353,0,59353,237411,0,27421.02,0.0,237411,664750.7999999999,90388.14693718747,253086.8114241249,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Umuahia North,1600,36352,Endemic,2014.0,3.0,2017,2017,Annual,231620,204478,88.28166825,1,1,1,1,3,0,ANGA0377536352,0.0,0.0,0.0,2.8,2.8
11,Abia,Umuahia South,37272,0,37272,149089,0,17219.73,0.0,149089,417449.19999999995,56761.591037187485,158932.45490412496,Abia,3727347.0,14745.976007687665,34452.721728246965,38612.60158593653,AFRO,Nigeria,NG,34,Abia,454,Umuahia South,1601,36353,Endemic,2014.0,3.0,2017,2017,Annual,145452,142453,97.93815142,1,1,1,1,3,0,ANGA0377536353,0.0,0.0,0.0,2.8,2.8
12,Adamawa,Demsa,48484,48484,0,193934,0,59149.9,84846.25,193934,543015.2,81153.20676906248,0.0,Adamawa,4248436.0,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Demsa,1603,36354,Endemic,2015.0,1.0,2017,2017,Annual,189204,153824,81.30060675,1,1,1,1,4,0,ANGA0377636354,3.9999587492781123,0.0,1.4344276152622404,0.0,2.8
13,Adamawa,Fufore,55756,55756,0,223023,0,68022.0,97572.5,223023,624464.3999999999,60788.30046218747,0.0,Adamawa,4248436.0,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Fufore,1604,36355,Endemic,2012.0,4.0,2017,2017,Annual,217583,177334,81.50177174,1,1,1,1,4,0,ANGA0377636355,3.9999820647105246,0.0,1.4344256270030284,0.0,2.7999999999999994
14,Adamawa,Ganye,44136,44136,0,176543,0,53845.600000000006,77237.5,176543,494320.39999999997,87280.69288749997,0.0,Adamawa,4248436.0,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Ganye,1605,36356,Endemic,2015.0,1.0,2017,2017,Annual,172237,140187,81.39191927,1,1,1,1,4,0,ANGA0377636356,3.9999773427587457,0.0,1.434425468376246,0.0,2.8
