"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","start_year","end_year","Period","TargetPop","Rnd","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","MappingGap","TtoNeeds","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Abia",454,"Aba North",1586,36337,"Low endemicity",2017,2017,"Annual","Adults",0,0,0,0,0,0,0,0,0,1,"ANGA0377536337"
"AFRO","Nigeria","NG",34,"Abia",454,"Aba North",1586,36337,"Low endemicity",2017,2017,"Annual","SAC",0,0,0,0,0,0,0,0,0,1,"ANGA0377536337"
"AFRO","Nigeria","NG",34,"Abia",454,"Aba North",1586,36337,"Low endemicity",2017,2017,"Annual","Total",0,0,0,0,0,0,0,0,0,1,"ANGA0377536337"
"AFRO","Nigeria","NG",34,"Abia",454,"Aba South",1587,36338,"Non-endemic",2017,2017,"Annual","Adults",0,0,0,0,999,999,999,999,0,0,"ANGA0377536338"
"AFRO","Nigeria","NG",34,"Abia",454,"Aba South",1587,36338,"Non-endemic",2017,2017,"Annual","SAC",0,0,0,0,999,999,999,999,0,0,"ANGA0377536338"
"AFRO","Nigeria","NG",34,"Abia",454,"Aba South",1587,36338,"Non-endemic",2017,2017,"Annual","Total",0,0,0,0,999,999,999,999,0,0,"ANGA0377536338"
"AFRO","Nigeria","NG",34,"Abia",454,"Arochukwu",1588,36339,"Non-endemic",2017,2017,"Annual","Adults",0,0,0,0,999,999,999,999,0,0,"ANGA0377536339"
"AFRO","Nigeria","NG",34,"Abia",454,"Arochukwu",1588,36339,"Non-endemic",2017,2017,"Annual","SAC",0,0,0,0,999,999,999,999,0,0,"ANGA0377536339"
"AFRO","Nigeria","NG",34,"Abia",454,"Arochukwu",1588,36339,"Non-endemic",2017,2017,"Annual","Total",0,0,0,0,999,999,999,999,0,0,"ANGA0377536339"
"AFRO","Nigeria","NG",34,"Abia",454,"Bende",1589,36340,"Non-endemic",2017,2017,"Annual","Adults",0,0,0,0,999,999,999,999,0,0,"ANGA0377536340"
"AFRO","Nigeria","NG",34,"Abia",454,"Bende",1589,36340,"Non-endemic",2017,2017,"Annual","SAC",0,0,0,0,999,999,999,999,0,0,"ANGA0377536340"
"AFRO","Nigeria","NG",34,"Abia",454,"Bende",1589,36340,"Non-endemic",2017,2017,"Annual","Total",0,0,0,0,999,999,999,999,0,0,"ANGA0377536340"
"AFRO","Nigeria","NG",34,"Abia",454,"Ikwuano",1590,36341,"Low endemicity",2017,2017,"Annual","Adults",0,0,0,0,0,0,0,0,0,1,"ANGA0377536341"
"AFRO","Nigeria","NG",34,"Abia",454,"Ikwuano",1590,36341,"Low endemicity",2017,2017,"Annual","SAC",0,0,0,0,0,0,0,0,0,1,"ANGA0377536341"
"AFRO","Nigeria","NG",34,"Abia",454,"Ikwuano",1590,36341,"Low endemicity",2017,2017,"Annual","Total",0,0,0,0,0,0,0,0,0,1,"ANGA0377536341"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiala Ngwa North",1591,36342,"Non-endemic",2017,2017,"Annual","Adults",0,0,0,0,999,999,999,999,0,0,"ANGA0377536342"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiala Ngwa North",1591,36342,"Non-endemic",2017,2017,"Annual","SAC",0,0,0,0,999,999,999,999,0,0,"ANGA0377536342"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiala Ngwa North",1591,36342,"Non-endemic",2017,2017,"Annual","Total",0,0,0,0,999,999,999,999,0,0,"ANGA0377536342"
"AFRO","Nigeria","NG",34,"Abia",454,"Isiala Ngwa South",1592,36343,"Non-endemic",2017,2017,"Annual","Adults",0,0,0,0,999,999,999,999,0,0,"ANGA0377536343"
